iter	Passed	Remaining
766	3481	1057
767	3485	1052
768	3490	1048
769	3494	1043
770	3498	1039
771	3502	1034
772	3506	1029
773	3511	1025
774	3514	1020
775	3519	1016
776	3524	1011
777	3528	1006
778	3533	1002
779	3537	997
780	3541	993
781	3545	988
782	3549	983
783	3553	979
784	3558	974
785	3562	969
786	3566	965
787	3570	960
788	3574	955
789	3578	951
790	3582	946
791	3586	941
792	3590	937
793	3594	932
794	3598	928
795	3603	923
796	3607	918
797	3611	914
798	3615	909
799	3619	904
800	3624	900
801	3628	895
802	3632	891
803	3636	886
804	3641	882
805	3645	877
806	3649	872
807	3653	868
808	3658	863
809	3662	859
810	3667	854
811	3671	850
812	3676	845
813	3680	840
814	3684	836
815	3688	831
816	3692	827
817	3696	822
818	3701	817
819	3706	813
820	3710	808
821	3714	804
822	3719	799
823	3723	795
824	3727	790
825	3731	786
826	3735	781
827	3740	776
828	3744	772
829	3748	767
830	3752	763
831	3757	758
832	3761	754
833	3765	749
834	3769	744
835	3774	740
836	3779	735
837	3782	731
838	3787	726
839	3792	722
840	3796	717
841	3801	713
842	3805	708
843	3809	704
844	3813	699
845	3817	694
846	3822	690
847	3826	685
848	3830	681
849	3834	676
850	3838	672
851	3843	667
852	3847	663
853	3851	658
854	3855	653
855	3859	649
856	3863	644
857	3868	640
858	3871	635
859	3876	630
860	3880	626
861	3884	621
862	3889	617
863	3893	612
864	3897	608
865	3902	603
866	3906	599
867	3910	594
868	3915	590
869	3920	585
870	3924	581
871	3928	576
872	3932	572
873	3937	567
874	3941	563
875	3945	558
876	3949	553
877	3953	549
878	3958	544
879	3964	540
880	3968	536
881	3973	531
882	3977	527
883	3983	522
884	3988	518
885	3995	514
886	3999	509
887	4004	505
888	4008	500
889	4013	495
890	4017	491
891	4022	486
892	4026	482
893	4030	477
894	4036	473
895	4040	468
896	4044	464
897	4049	459
898	4052	455
899	4057	450
900	4062	446
901	4066	441
902	4070	437
903	4075	432
904	4079	428
905	4083	423
906	4087	419
907	4091	414
908	4095	410
909	4100	405
910	4104	401
911	4110	396
912	4114	392
913	4118	387
914	4123	383
915	4126	378
916	4131	373
917	4135	369
918	4139	364
919	4144	360
920	4148	355
921	4152	351
922	4156	346
923	4160	342
924	4165	337
925	4169	333
926	4173	328
927	4178	324
928	4182	319
929	4186	315
930	4191	310
931	4196	306
932	4200	301
933	4204	297
934	4209	292
935	4213	288
936	4218	283
937	4222	279
938	4227	274
939	4231	270
940	4235	265
941	4239	261
942	4243	256
943	4247	251
944	4252	247
945	4257	243
946	4261	238
947	4267	234
948	4271	229
949	4275	225
950	4280	220
951	4285	216
952	4289	211
953	4294	207
954	4299	202
955	4304	198
956	4308	193
957	4314	189
958	4319	184
959	4323	180
960	4327	175
961	4332	171
962	4336	166
963	4341	162
964	4346	157
965	4351	153
966	4355	148
967	4360	144
968	4364	139
969	4369	135
970	4375	130
971	4380	126
972	4384	121
973	4389	117
974	4393	112
975	4397	108
976	4401	103
977	4407	99
978	4410	94
979	4415	90
980	4420	85
981	4426	81
982	4430	76
983	4433	72
984	4439	67
985	4443	63
986	4448	58
987	4452	54
988	4457	49
989	4462	45
990	4466	40
991	4470	36
992	4475	31
993	4479	27
994	4484	22
995	4488	18
996	4492	13
997	4496	9
998	4501	4
999	4505	0
